Palavra,Frequencia
dialogar,18
dialogarmos,2
dialogo,101
dialogos,6
dialogue,1
diante,14
dianteira,2
diaria,6
diariamente,27
diarias,4
diario,17
diarios,1
diarioverdinha,1
dias,396
dica,5
dicas,5
dicionario,1
diego,1
diferenca,194
diferencas,4
diferenciada,7
diferenciado,6
diferenciados,1
diferencial,3
diferente,145
diferentemente,1
diferentes,8
dificeis,2
dificil,30
dificuldade,6
dificuldades,20
dificulta,1
dificultam,2
difundir,2
difusao,1
difusora,2
diga,16
digai,1
digam,2
digame,1
digase,1
digestao,1
digestivo,1
digita,4
digitais,3
digital,66
digitalizado,1
digitalizamos,1
digitando,1
digitar,4
digna,40
dignadade,1
dignas,8
dignidade,149
digno,13
dignos,1
digo,12
dilema,1
dilemas,1
dilgencias,1
diligencias,1
dilma,6
diminui,1
diminuicao,2
diminuindo,4
diminuir,4
dinamico,1
dinamismo,1
dinheirinho,1
dinheiro,48
diniz,1
diocese,1
dionisio,1
dira,2
dirao,1
dirceu,13
direcao,24
direcionada,1
direcionadas,1
direcionado,1
direcionados,1
direcionamento,2
direciono,1
direct,2
direi,4
direita,14
direitinho,1
direito,95
direitos,83
direta,2
diretamente,35
direto,8
diretor,27
diretora,4
diretoria,4
diretos,1
diretrizes,1
diria,1
dirige,1
dirigentes,2
dirigindo,1
dirigir,3
dirijo,1
discernimento,1
disciplina,1
disciplinas,1
discriminacao,2
discursa,2
discursando,4
discurso,28
discursos,7
discussao,2
discussoes,4
discutido,2
discutimos,23
discutindo,9
discutir,46
discutirmos,2
disfarcados,1
disfarcar,1
disney,1
dispaaaaaara,1
dispara,7
disparada,3
disparadas,1
disparado,3
disparamos,1
disparando,2
disparooooooooou,1
disparoooooou,1
disparos,1
disparou,11
dispensa,1
disponibilidade,1
disponibilizamos,3
disponibilizar,1
disponibilizou,1
disponiveis,4
disponivel,11
disposicao,31
dispositivo,1
disposta,2
dispostas,2
disposto,8
disputa,23
disputam,1
disputar,2
disse,36
disseminacao,4
disseminada,2
disseminadas,5
disseminando,3
disseminar,3
disseminaram,1
disseram,2
dissesse,1
dissimuladas,1
disso,90
distancias,4
distante,1
distincao,6
distorcao,1
distorce,1
distorcem,1
distorcer,2
distorcida,1
distorcidas,1
distracoes,1
distribui,1
distribuicao,4
distribuidas,2
distribuidores,1
distribuidos,1
distribuimos,1
distribuindo,3
distribuindoas,1
distribuir,1
distrito,2
dita,9
ditado,2
ditadura,2
ditas,2
dito,6
diva,1
diveras,1
divergencia,1
diversao,4
diversas,66
diversidade,14
diversificado,1
diversos,28
diverte,1
divertida,1
divertidamente,1
divertimos,1
divida,3
dividas,2
divide,1
dividem,2
dividida,5
divididas,1
dividido,3
dividindo,1
dividir,3
dividiram,1
divina,1
divineia,2
divisa,1
divisao,1
divulga,3
divulgacao,3
divulgada,51
divulgadas,1
divulgado,2
divulgados,1
divulgam,1
divulgando,6
divulgar,3
divulgaram,1
divulgou,6
dixm,1
dixsept,1
diz,61
dizem,16
dizemos,2
dizendo,14
dizer,66
dizia,2
diziam,3
dj,1
djalma,4
dm,1
dn,1
dna,1
doacao,5
doacoes,2
doador,3
doar,1
dobradinha,1
dobrado,1
dobramos,1
dobrar,4
dobro,5
dobrou,3
doce,3
docente,1
documentacao,1
documento,17
documentos,3
dodo,1
doe,1
doem,1
doenca,4
doencas,5
doente,1
doguinho,2
dohorizonte,1
doi,2
dois,63
dom,33
domestica,3
domesticos,1
domiciliar,2
domicilios,1
domina,3
dominada,1
dominadas,1
dominado,1
dominando,1
dominar,2
domingaco,1
domingando,1
domingao,9
domingo,284
domingooou,1
domingos,6
domingou,4
dominio,1
dominou,1
don,1
dona,258
donas,1
dono,6
donos,2
dooooooooooooze,1
doooooooooze,1
doooooooze,1
dooooooze,1
doooooozeeeeeee,1
doooooze,4
doooozeeee,1
dooozeeee,2
doozeeee,1
dor,16
dores,6
dorme,2
dormir,7
dormirao,2
dorys,1
dose,3
dotacao,1
dou,2
douglas,1
dourado,3
doutor,2
down,9
doze,6
dr,18
dra,1
draga,4
dragagem,1
dragao,1
drenadas,1
drenagem,15
drenamos,1
driblou,1
drogaria,1
drogas,12
drone,4
duas,51
dublagem,1
duda,2
dudu,5
dulce,18
dumas,24
dumont,30
dupla,12
duplicacao,6
duplicando,1
duplicar,2
duplo,2
duque,1
dura,3
durabilidade,1
duram,2
durante,245
durantes,4
durar,1
duras,1
durmo,1
duro,5
duros,1
durval,1
dutra,7
duvida,26
duvidas,29
duvidou,1
duzentas,1
eatao,1
ecarroecarroemotoemotoegenteegente,1
eclesiastica,1
eco,1
ecoa,4
ecoam,2
ecoamos,3
ecoar,5
ecologicas,1
economia,54
economica,10
economico,23
economicos,1
economista,1
economiza,1
economizando,2
economizar,2
economize,1
ecoou,1
ecopark,1
ecopasseio,1
ede,2
edelzio,1
eder,1
edi,1
edicao,19
edicoes,1
edificio,1
edificios,1
editado,2
editais,1
edital,5
editar,1
editor,4
editorial,1
edmilson,2
edson,4
edu,1
eduarda,1
educacao,390
educacionais,2
educacional,4
educador,5
educadora,2
educadoras,1
educadores,5
educando,1
educultura,2
edvaldo,6
eeeeeeeee,1
efeitos,3
efesios,1
efetiva,5
efetivacao,3
efetivar,1
efetivaremos,1
efetivas,5
efetividade,1
efetivo,4
efetivos,3
eficaz,3
eficazes,1
eficiencia,13
eficiente,56
eficientes,2
efigenia,1
efraim,2
ei,4
eim,1
eisme,4
eita,10
eixo,3
eixos,5
eja,5
el,2
elaboracao,4
elaboradas,2
elaborado,4
elaboramos,4
elaborar,3
elainita,1
elegendo,109
eleger,52
elegermo,1
elegermos,6
elegeu,3
eleicao,229
eleicoes,88
eleita,14
eleito,11
eleitor,26
eleitora,6
eleitorado,6
eleitorais,13
eleitoraldireito,1
eleitoreira,1
eleitoreiras,1
eleitores,72
eleitorial,1
eleitos,1
elementos,2
eletricas,2
eletricista,1
eletrico,2
eletricos,4
eletrocutado,2
eletronica,4
eletronico,4
eleuza,2
eleva,1
elevacao,1
elevada,1
elevado,7
elevador,2
elevar,1
elevaram,1
elevarmos,1
elevatoria,1
elevou,1
elias,6
eliel,1
eliete,4
eliminacao,1
eliminando,2
eliminar,2
elisangela,8
elite,1
eliza,1
elizana,1
elmano,74
eltelvino,1
elzuila,2
emancipacao,1
emancipar,1
embaixo,9
embala,1
embalado,1
embalados,1
embalo,5
embarcacao,1
embarcamos,1
embarcou,1
embarque,12
embasamento,1
embasamentos,1
embate,1
embelezar,1
embelezem,1
emblematico,1
embora,3
embratel,3
emenda,3
emendas,11
emergencia,8
emergenciais,2
emergencial,5
emergencias,1
emicionar,1
emiliacorrea,5
emiliaericardo,1
emissao,4
emissora,3
emissoras,1
emitido,1
emitir,1
emmanual,1
emmanuel,10
emocao,29
emociona,2
emocionada,3
emocionado,4
emocionados,3
emocional,1
emocionando,1
emocionante,53
emocionantes,1
emocionar,1
emocionaram,1
emocionei,1
emociono,1
emocoes,2
empatam,1
empate,3
empatia,7
empatou,1
empenhadas,1
empenhado,2
empenhados,4
empenhando,1
empenhar,1
empenho,13
empoderamento,4
empolgada,1
empolgado,1
empolgando,1
empolgante,1
empolgar,3
empreende,2
empreendedor,3
empreendedora,4
empreendedores,12
empreendedorismo,23
empreender,3
empreenderem,2
empreenderes,1
empreendeu,1
empreendimento,2
empreendimentos,2
emprega,2
empregabilidade,1
empregados,3
empregar,1
emprego,78
empregos,57
empreiteiras,1
empresa,16
empresaria,2
empresariais,1
empresarial,6
empresarialmilitar,1
empresario,3
empresarios,12
empresas,19
emprestar,1
emprestimo,1
emprestimos,1
empurroes,1
emsurb,15
encaixar,1
encaminha,2
encaminhadas,1
encaminhando,2
encaminhar,3
encaminhe,3
encaminhei,1
encanta,1
encantado,6
encantadora,3
encantando,1
encantar,1
encantaram,1
encantos,1
encara,1
encarado,2
encarar,6
encararmos,2
encarei,1
encenacao,3
encenarem,1
enceramento,1
encerra,2
encerrados,1
encerramento,9
encerramos,16
encerrando,6
encerrar,2
encerrou,1
encha,1
enche,32
enchem,9
enchemos,1
enchendo,3
enchentes,5
encher,8
enchera,1
encheram,1
encheu,17
encho,1
encolhem,1
encomendada,12
encomendar,1
encontra,21
encontrado,4
encontram,2
encontramos,26
encontramse,1
encontrando,4
encontrar,56
encontrarem,1
encontrarmos,1
encontrase,1
encontre,1
encontrei,7
encontro,221
encontros,28
encontrou,1
encosta,3
encostas,3
encruzilhada,5
encurtando,2
encurtar,1
endemia,1
endemias,2
endoscopia,2
endossar,1
endrick,1
enem,4
energetica,2
energia,405
energias,23
energizada,1
energizado,1
energizados,1
energizante,1
enfase,1
enfatiza,1
enfatizando,1
enfermagem,3
enfermeira,2
enfermeiros,1
enfoque,3
enfrenta,29
enfrentadas,2
enfrentado,2
enfrentados,5
enfrentam,14
enfrentamento,9
enfrentamos,8
enfrentando,9
enfrentar,42
enfrentara,1
enfrentaram,2
enfrentaremos,2
enfrentavam,1
enfrente,1
enfrentei,2
enfrentou,5
eng,1
engajada,1
engajado,2
engajados,1
engajamento,9
engajando,1
engana,3
enganacao,3
enganada,2
enganamos,2
enganar,23
engane,2
enganem,1
enganosos,1
engarrafamento,5
engenharia,2
engenheiro,6
engenho,2
engolir,1
engomadeira,1
engorda,6
engrandecer,1
enio,1
enorme,10
enquadrado,1
enquanto,103
enquete,1
enriquecer,1
enrocamento,1
enrolacao,3
ensaiada,1
ensaiamos,1
ensaiando,1
ensaiar,2
ensina,3
ensinam,2
ensinamento,1
ensinamentos,2
ensinar,2
ensinaremos,1
ensino,51
ensinoaprendizagem,1
ensinou,7
ensolarado,1
entabulando,1
entanto,1
entao,83
entenda,1
entende,24
entendedor,1
entendem,6
entendemos,3
entendendo,4
entender,15
entenderem,1
entendeu,5
entendi,1
entendimento,2
entendo,7
enterrados,1
entes,1
entidade,3
entidades,10
entorno,6
entra,9
entrada,3
entramos,6
entrando,6
entrar,16
entrara,2
entraram,1
entrarei,1
entraremos,2
entrarmos,1
entrega,23
entregadores,5
entregam,2
entregamos,16
entregando,4
entregar,40
entregaram,1
entregaremos,3
entregas,7
entregou,12
entregue,26
entreguei,1
entregues,8
entrei,3
entrem,1
entretenimento,2
entrevista,80
entrevistada,6
entrevistadas,18
entrevistado,1
entrevistados,12
entrevistas,15
entrevistou,6
entrou,3
entubado,1
entusiasmo,20
envergonha,2
envergonhada,1
enviamos,1
enviando,1
enviar,3
enviaram,3
envie,1
enviei,1
envio,1
enviou,5
envolve,7
envolvem,3
envolvendo,5
envolvente,2
envolver,1
envolveu,1
envolvia,1
envolvida,1
envolvidas,2
envolvido,2
envolvidos,6
envolvimento,4
envolvimentos,1
enxerga,4
enxergalos,1
enxergando,2
enxergar,4
enxergaram,1
enxergo,1
enxergue,1
enxoval,3
enxugar,1
enxurrada,3
enxurradas,1
enzo,3
ep,1
epiletico,1
episodio,18
episodios,4
epitacio,2
epoca,3
epocas,1
equanime,1
equidade,6
equilibrada,1
equilibrando,1
equilibrio,3
equilibrista,1
equipadas,2
equipado,2
equipados,2
equipamento,11
equipamentos,22
equiparem,1
equipe,30
equipes,16
equivalente,1
equivocada,1
equivocadas,1
erario,2
erguendo,2
erguer,2
erguida,6
erguidas,3
erica,1
erika,1
eriton,1
erivan,1
errada,2
erradas,9
erradicacao,1
errado,2
errar,2
erraram,2
erro,85
erros,4
es,1
esburacadas,1
escada,1
escadaria,4
escadarias,1
escadas,1
escalada,3
escalado,1
escaldante,1
escandalo,7
escandalos,7
escandalosos,1
escapam,1
escapar,1
esclarecedor,1
esclarecer,3
esclarecimentos,1
escoamento,2
escoar,1
escola,65
escolar,18
escolares,5
escolaridade,1
escolas,100
escolha,126
escolham,2
escolhas,5
escolhe,1
escolhem,1
escolhemos,6
escolhendo,5
escolher,65
escolheram,2
escolherem,1
escolhermos,4
escolheu,24
escolhi,1
escolhida,2
escolhido,4
escolinha,1
escolinhas,1
esconde,2
escondem,1
esconder,11
escondidos,1
escondo,2
escravidao,1
escravo,1
escreva,1
escreve,3
escrevemos,1
escrevendo,1
escrever,10
escrevermos,1
escreveu,2
escrita,7
escrito,3
escritura,1
escudeiro,2
esculturas,3
escura,7
escuridao,2
escuro,9
escuros,6
escuta,12
escutamos,1
escutando,4
escutar,8
escute,3
escutei,2
escuto,3
escutou,2
esfacelamento,1
esferas,1
esforcam,1
esforco,9
esforcos,13
esgota,1
esgotamento,6
esgoto,12
esmoreceu,1
espaciais,1
espacinho,1
espaco,113
espacos,71
espalha,8
espalhada,2
espalhadas,3
espalhado,3
espalhados,4
espalham,1
espalhamos,3
espalhando,39
espalhar,50
espalharam,1
espalharmos,1
espalhe,6
espalhou,3
especiais,18
especial,166
especialidades,8
especialissimas,1
especialista,3
especialistas,3
especializacao,4
especializada,2
especializadas,1
especializado,15
especializados,6
especialmente,35
especie,1
especies,2
especifica,6
especificas,2
especismo,1
espectro,15
espera,34
esperada,3
esperado,2
esperados,1
esperam,2
esperamos,22
esperanca,935
esperancafe,1
esperancas,1
esperancosa,1
esperancoso,3
esperando,14
esperar,15
esperarem,1
esperavam,1
esperavamos,1
espero,32
esperto,2
espessura,2
espetacular,2
espetaculo,5
espetinho,2
espigoes,1
espirita,2
espirito,15
espiritual,3
espiritualidade,3
esplanada,5
espontanea,3
espontaneamente,1
espontaneas,1
espontaneidade,1
espontaneo,2
espontaneos,2
esporte,65
esportes,15
esportistas,1
esportiva,4
esportivas,6
esportivo,7
esportivos,6
esposa,15
esposo,3
esquadrao,1
esqueca,26
esquecam,5
esquece,12
esquecem,2
esquecer,15
esqueceremos,1
esqueceu,2
esquecida,5
esquecidas,9
esquecido,4
esquecidos,3
esquecimento,2
esquema,3
esquenta,1
esquerda,20
esquerdistas,1
esquerdo,1
esquina,8
essencia,2
essenciais,30
essencial,51
estabelece,1
estabelecem,1
estabelecemos,1
estabelecer,6
estabeleceremos,1
estabelecidas,3
estabelecido,1
estabelecimentos,2
estabilidade,1
estabilizacao,1
estaca,1
estacao,7
estacas,1
estacionamento,7
estacoes,4
estadao,1
estado,86
estadomaior,1
estados,10
estaduais,3
estadual,52
estagi,2
estagiar,2
estagiario,3
estagiarios,1
estagio,1
estagnacao,1
estaiada,9
estampada,1
estampado,1
estancia,1
estando,8
estao,249
estar,113
estara,24
estarao,8
estarei,29
estarem,8
estaremos,34
estaria,4
estariam,2
estarmos,5
estarrecedoras,1
estarrecido,1
estatica,1
estatico,11
estatura,3
estatuto,2
estela,1
estende,1
estendemos,1
estender,4
estendido,3
estetica,1
esther,1
estilizados,3
estilo,10
estiloso,1
estilosos,1
estimacao,1
estimado,1
estimulada,1
estimulando,2
estimulante,1
estimular,7
estimulo,1
estimulos,1
estimulou,1
estiva,1
estoque,1
estourada,1
estouramos,1
estourar,1
estouro,1
estourou,1
estrada,7
estragando,1
estralar,1
estrangeira,1
estranho,1
estrategia,3
estrategias,9
estrategica,1
estrategicamente,1
estrategicas,3
estrategico,2
estrategicos,1
estreamos,1
estreia,5
estreitam,1
estreitar,2
estrela,11
estressou,1
estrutura,39
estruturacao,1
estruturada,1
estruturadas,2
estruturado,3
estruturados,1
estruturais,2
estruturando,1
estruturantes,8
estruturar,1
estruturas,6
estudados,1
estudamos,2
estudante,7
estudantes,50
estudantil,14
estudar,8
estudaria,1
estudei,1
estudio,12
estudios,4
estudioso,1
estudo,18
estudos,17
estudou,1
estupros,1
etapa,15
etapas,2
etaria,1
etc,1
eterna,4
eternamente,1
eternas,1
eternizar,1
eterno,7
etica,10
etico,3
eticoa,1
etitulo,7
etivaldo,1
etnicoracial,1
eucaristia,1
euclides,1
euforia,1
europa,1
eustaquio,2
evangelicas,1
evangelina,2
evangelista,4
evangelistica,1
evangelizadora,1
evaporaram,1
evasao,4
evento,61
eventos,28
everton,1
evidencia,2
evidenciando,1
evidenciou,1
evidente,9
evidentes,2
evislan,1
evitada,2
evitar,6
evite,2
evitem,1
evitou,1
evoluir,2
evoluiram,1
evoluirao,1
evoluiu,1
ex,8
exaltados,1
exaltar,1
exalunos,1
exame,7
exames,57
exassessor,3
exatamente,20
exatos,6
exausto,1
excamelo,1
excecao,2
excelencia,10
excelente,8
excelentes,1
excepcionais,1
excessao,1
excesso,1
excluidos,4
excluir,1
exclusiva,7
exclusivas,3
exclusividade,1
exclusivo,2
exdeputado,2
execucao,6
executa,1
executada,1
executadas,3
executado,4
executalas,1
executando,1
executar,10
executiva,6
executivo,5
exemplar,2
exemplificado,1
exemplo,68
exemplos,12
exerca,4
exerce,2
exercendo,1
exercer,11
exercerem,1
exerci,1
exercicio,7
exercida,2
exercido,2
exercite,1
exercito,1
exgovernador,1
exibicao,1
exibidas,2
exibido,3
exige,7
exigencias,1
exigente,1
exigir,5
exigira,1
existe,20
existem,13
existencia,1
existentes,1
existia,5
existiam,2
existir,4
existiu,1
exministra,1
exministro,15
exorbitantes,1
expande,2
expandidas,1
expandimos,1
expandindo,1
expandir,7
expandiu,1
expansao,25
expectativa,3
expectativas,1
experiencia,108
experiencias,9
experiente,12
experimentar,1
explica,6
explicacao,9
explicacoes,3
explicado,1
explicamos,1
explicando,7
explicar,12
explique,1
expliquei,2
explodiu,2
exploracao,2
explorado,1
explorando,1
expoe,1
expoema,2
expondo,1
expor,2
exportando,1
expos,1
exposicoes,3
exposta,1
expostas,1
exprefeita,1
exprefeito,3
exprefeitos,1
expresidente,9
expressa,3
expressam,1
expressando,1
expressao,3
expressar,6
expressaram,1
expressas,1
expressavam,1
expressei,1
expressiva,2
expressoes,3
exprimeiradama,1
exquece,1
exsecretario,1
exsecretarios,1
exsenadora,3
exservidor,1
extase,1
extensa,1
exteriorfoi,1
externa,1
externado,1
externando,2
externar,2
externo,1
externos,1
extintas,4
extinto,1
extra,6
extracurriculares,1
extraordinaria,2
extraordinario,1
extrema,8
extremadireita,2
extremamente,4
extremismo,1
exvereador,1
fa,2
fabiano,74
fabiola,2
fabionovocombr,1
fabrica,4
fabricacao,1
fabya,17
faca,56
facam,3
facamos,1
facao,1
facas,1
faccao,5
faccoes,11
face,1
facebook,5
facial,1
facil,28
facilidade,5
facilita,4
facilitadas,1
facilitando,9
facilitar,19
facilitaria,1
facilitou,1
facinho,1
facinhopara,1
faco,24
faculdade,3
facultativo,2
faixa,13
faixas,3
fake,53
fakenews,1
fakes,5
fala,94
falacias,1
falado,11
falam,8
falamos,13
falando,88
falar,80
falaram,5
falarmos,3
falas,2
falassem,1
falcao,5
falcon,1
fale,6
faleceram,1
faleceu,1
falecimento,5
falei,19
falha,4
falhando,2
falhas,1
falida,1
falido,3
faliu,1
falo,3
falou,14
falsa,3
falsas,11
falso,2
falsos,1
falta,147
faltam,131
faltando,9
faltar,7
faltasse,1
faltavam,1
falte,2
faltou,11
fam,1
fama,2
familia,147
familiar,8
familiares,34
familias,146
famosa,3
famoso,4
fan,4
fantasia,2
fantasiada,1
fantasiosas,1
fantasmas,1
fantastica,2
fantoche,1
fara,21
farao,8
farda,1
fardamento,2
fardas,1
fardinha,2
farei,3
farelos,1
faremos,49
faria,2
fariam,3
farias,5
farinata,1
farinha,5
farinhas,2
farmaceutico,1
farmacia,6
faroeste,1
farofa,2
farol,3
farolandia,6
farra,1
farsa,1
fas,5
fascismo,15
fascistas,1
fase,16
fases,3
fashion,1
fatia,1
fatiamentos,1
fatima,19
fato,27
fatos,20
faturou,1
favelas,1
favor,28
favoraveis,1
favoravel,3
favorece,1
favorecem,1
favorecer,2
favorecidos,2
favoritas,1
favorito,7
favoritos,1
faz,203
fazedores,3
fazela,4
fazem,65
fazemos,12
fazenda,6
fazendo,153
fazer,1315
fazerchegou,1
fazerem,1
fazermos,70
faziam,1
fazo,4
fds,1
fe,199
feat,2
fecha,1
fechada,5
fechadas,1
fechadissimo,1
fechado,10
fechados,5
fechamos,3
fechando,4
fechar,12
fecharmos,1
feche,1
fechem,1
fechou,1
fecomercio,2
fecury,1
federacao,837
federais,12
federal,124
federase,2
feed,5
feia,1
feijao,4
feijoada,5
feio,1
feira,41
feirante,5
feirantes,13
feiras,14
feirinha,10
feita,63
feitas,15
feito,104
feitos,8
feitosa,2
felicidade,31
felicidades,1
felicitacoes,1
felinos,1
felipe,11
feliz,188
felizardo,1
felizes,3
felizmente,1
feminicidio,7
feminicidios,1
feminina,11
femininas,7
feminino,10
fenomeno,1
ferem,1
feriadao,2
feriado,2
feriados,1
ferias,4
ferida,2
feridas,1
ferimentos,1
ferindo,1
fernanda,3
fernando,3
fernao,1
ferramenta,5
ferraz,12
ferrazcodipi,1
ferreira,18
ferronorte,2
ferrou,1
festa,63
festaju,1
festas,5
festejar,1
festejos,1
festivais,1
festival,4
fez,124
fia,1
fiada,1
fialho,1
fibra,1
fibromialgia,4
fica,76
ficado,2
ficam,9
ficamos,6
ficando,13
ficar,71
ficara,15
ficaram,9
ficarao,7
ficarem,2
ficaria,1
ficariam,2
ficarmos,1
ficavam,1
ficha,19
fichados,1
fichas,2
fichinha,1
fico,33
ficou,42
fieis,3
fiel,4
figueiredo,2
figura,3
figurantes,1
figurinha,2
figurinhas,3
fila,24
filantropicas,1
filantropicos,2
filas,37
filgueiras,1
filha,18
filhao,1
filhinha,1
filhinho,1
filho,49
filhos,51
filipe,1
filipeia,2
filmagem,1
filme,1
filmes,1
filomena,4
filtragem,1
filtrando,1
filtrante,2
filtro,6
filtros,3
fim,213
fimconfiante,1
finais,16
final,149
finalidade,2
finalizacao,1
finalizado,1
finalizamos,9
finalizando,10
finalizar,5
finalizei,2
finalizo,1
finalizou,1
finalmente,8
finalzinho,1
financas,1
financeira,4
financeiramente,1
financeiras,1
financeiro,3
financeiros,1
financiamento,1
finge,1
fingindo,2
fingir,1
fino,1
fins,4
fio,2
fique,40
fiquei,5
fiquem,11
firmada,1
firmado,2
firmados,1
firmando,1
firmar,2
firmarmos,1
firme,50
firmei,1
firmes,94
firmeza,6
firmino,6
firmou,1
fiscais,2
fiscal,8
fiscalizacao,10
fiscalizacoes,2
fiscalizando,9
fiscalizar,10
fiscalizei,3
fiscalizo,1
fisica,11
fisicas,1
fisico,2
fisionomia,1
fisioterapia,1
fixa,1
fixo,1
fiz,24
fizemos,121
fizer,1
fizeram,22
fizeramreacendemos,1
fizesse,1
fizessem,1
flagrante,2
flamengo,1
flamenguista,1
flanela,1
flash,1
flavia,1
flavio,2
flexais,1
flexal,1
flexiveis,1
flor,1
floresce,1
floresta,3
florestal,1
floriano,2
florianopolis,1
florida,1
florido,2
florimos,2
florir,2
floriu,1
florzinha,1
flui,1
fluidez,2
flutuante,2
fluvial,1
fluxo,6
fm,18
fmdatavero,1
focada,5
focadas,1
focado,6
focados,5
focam,1
focando,2
focar,6
focaram,1
focca,4
foco,42
focus,6
fofinha,1
fofura,3
fofurometro,2
foge,10
fogem,2
fogo,4
fogos,1
foguete,21
folga,1
folha,5
folhas,1
folia,1
fome,22
fomentando,1
fomentar,9
fomento,3
fones,1
fonoaudiologia,1
fonseca,1
fonte,9
fonteles,23
fontes,2
food,1
foragidas,1
forca,465
forcando,1
forcas,68
forcinha,1
forjado,1
forma,93
formacao,27
formada,3
formado,7
formadora,1
formais,1
formal,2
formalidade,1
formalizar,2
formam,2
formamos,3
formando,5
formar,3
formas,12
formato,86
formatura,1
formou,2
formulacao,2
formuladas,1
fornecer,2
fornecidos,1
fornecimento,3
forquilha,2
forrar,2
forrei,2
forro,1
forrozeiros,2
fortal,1
fortaleca,4
fortalecam,2
fortalece,29
fortalecedores,1
fortalecelos,1
fortalecem,13
fortalecemos,3
fortalecendo,26
fortalecer,121
fortalecerao,1
fortaleceremos,1
fortalecermos,3
fortaleceu,5
fortalecida,5
fortalecido,5
fortalecidos,3
fortalecimento,23
fortalezense,21
fortalezenses,26
fortalza,1
forte,114
fortemente,1
fortes,45
fortuna,1
forum,6
foto,53
fotografia,1
fotos,64
fraca,1
fracassada,1
fracassadas,1
fracassado,1
fracasso,3
fraco,2
frades,1
fraga,1
frances,1
francesco,1
francisca,6
franciscano,1
francisco,57
franco,20
frango,3
frase,15
frases,5
fraterno,1
fraudes,1
fraudulentas,1
frederico,1
freeevo,1
fregueses,1
frei,3
freitas,10
freixo,1
frente,597
frentes,2
frequencia,2
frequenta,1
frequentando,1
frequentar,1
frequente,1
frequentes,2
fresca,1
fresquinhas,1
fresquinho,1
fresquinhos,1
frevo,3
fria,3
frio,1
fripisa,1
frisar,2
frito,1
front,3
fronteira,1
frontin,1
frota,13
frotas,2
frouxidao,1
frutas,2
frutiferas,1
frutificaram,1
fruto,20
frutos,5
frutuoso,1
fuga,1
fugido,1
fugindo,1
fugir,4
fugiu,6
fujao,3
fujo,1
funcaju,2
funcao,4
funciona,16
funcionalidade,1
funcionalismo,2
funcionam,5
funcionamento,14
funcionando,9
funcionar,26
funcionarao,3
funcionarem,1
funcionario,3
funcionarios,10
funcione,12
funcionem,2
funcionou,2
funcoes,4
fundacao,6
fundadora,1
fundadores,1
fundamentais,24
fundamental,80
fundat,4
fundef,1
fundiaria,11
fundiarios,1
fundo,30
funjope,1
furada,1
furado,1
furar,2
furta,1
furtado,3
furto,3
furtos,5
futebol,8
futura,28
futuras,8
futuro,869
futuros,10
futurosas,1
g,8
gabi,3
gabinete,2
gabinetes,1
gabriel,10
gabriela,3
gabriella,76
gal,1
galba,2
galeeeeera,1
galera,119
galeraaaaa,1
galeria,10
galerias,3
galerinha,1
galho,2
gallo,1
galpao,1
gama,1
gambiarras,1
games,1
ganancia,1
ganha,10
ganhado,3
ganham,2
ganhamos,3
ganhando,12
ganhapao,1
ganhar,30
ganhara,5
ganharam,2
ganharem,2
ganharia,1
ganhe,2
ganhei,4
ganhem,1
ganho,4
ganhou,10
gapara,1
garanta,4
garantam,8
garante,12
garantem,5
garanti,3
garantia,26
garantias,1
garantida,3
garantidas,2
garantido,6
garantidos,3
garantimos,9
garantindo,109
garantir,346
garantira,2
garantiram,1
garantirao,3
garantiremos,1
garantirmos,2
garanto,5
garbo,1
garcia,1
gardenia,2
gargalos,3
gari,3
garibalde,1
garotos,1
garra,39
garrafa,1
gas,18
gasss,1
gassss,1
gasta,2
gastando,1
gastar,3
gastariam,1
gaste,1
gasto,3
gastos,2
gastou,2
gastrenterologia,1
gastronomia,1
gastronomica,1
gastronomico,1
gastronomicos,3
gata,2
gatilho,1
gatinhos,2
gato,2
gaucho,1
gaveta,1
gaviao,6
gazeta,1
gcm,1
geisel,3
gelada,2
gelado,1
general,5
genero,3
generosidade,6
genibau,6
geniparana,1
genocda,1
gente,1190
genteee,1
gentilandia,4
genuina,2
genuino,3
geo,1
geografia,1
geolocalizados,1
geomanta,2
geomantas,1
geovane,1
gera,14
geracao,51
geracoes,17
geradas,1
gerador,1
gerados,1
geral,33
geraldinho,1
geraldoprefeitocombr,1
geram,3
gerando,22
gerar,29
geraram,1
gerava,1
gere,2
gerem,1
gerencia,1
gerenciamento,2
gerenciou,5
gerente,2
gerentes,1
geriatra,3
gerida,2
gerido,3
gerir,1
geronimo,1
gestacao,4
gestante,1
gestantes,2
gestao,426
gesto,14
gestoes,25
gestor,39
gestoras,1
gestores,24
gestos,1
getulio,5
gezyka,1
gia,2
gigaaaaaante,1
gigante,32
gigantes,2
gigantesca,1
gigantinho,1
gigantinhos,5
gil,1
gilberto,1
gilvan,1
ginanio,1
ginasio,4
ginastica,1
ginecologico,1
giovane,5
giovani,1
giovanna,1
girar,2
girassol,12
giro,1
gislane,1
gleide,1
glicose,1
global,1
globo,19
globonews,2
globoplay,1
globoquaest,2
gloria,2
gm,1
gma,2
gnv,2
go,2
goes,1
gogo,2
goiabeira,1
goiania,1
gol,5
golaco,2
goleada,1
golpe,4
golpes,1
gomes,11
goncalves,6
google,5
gore,6
gosta,16
gostam,1
gostar,4
gostaram,2
gostaria,5
gostariamos,1
gostei,3
gostinho,1
gosto,9
gostos,1
